Year,Month,Day,Hour,Minute,City,Shape,Summary
2017,4,17,1,0,Marysville,Triangle,"Coming off 1-5 Marysville seen triangle object with red, blue, white lights fading in and out.  Object was completely still."
2017,4,17,0,20,Fort Lee,Changing,"Super fast plane stops and emits a very big and bright light.  Another one approaches, does the same thing, while the other one left."
2017,4,16,23,40,Ardsley,Cigar,Looked as if it were flying straight for my house. Both were an orangey color. One stayed still while the other flew around it. The one
2017,4,16,23,10,South Belot,Fireball,"I'm sitting on my bed around 11:10 pm or 23:10 and I look out my window and I see a ball of light that's flashing white, red, blue, pin"
2017,4,16,22,4,Ricetown,Flash,Lights Daniel Boone Nat. Forest 4th night/five
2017,4,16,22,0,Loveland,Egg,"Loveland, CO, UFO red and yellow, egg-shaped object."
2017,4,16,21,0,Rock Island,Fireball,Glowing orange ball in the sky above wenatchee wa. MovING West to East. Fading out over rock island. ((anonymous report))
2017,4,16,21,0,Las Vegas,Unknown,Three reddish/amber lights that went out after approximately 5-7 minutes.
2017,4,16,21,0,Taylorsville,Circle,"9:00 P.M.: Three small circles lined up to make a triangle seen in the sky / 1:00 A.M.: Close encounter - humming noises, &quot;alien&q"
2017,4,16,20,33,Ronkonkoma,Sphere,"Observed near Ronkonkoma train station. Traveling northeast bound. Very fast, approximately 30 seconds to cross the visible portion of"
2017,4,16,20,30,London (Enfield)(UK/England),Circle,Bright Red UFO over North London with incredible manoeuvering capabilities.
2017,4,16,20,30,Portland,Oval,Bright orange ball flying over house making rapid direction shift.  ((anonymous report))
2017,4,16,20,0,Oceanside,Light,"Very bright light moving across the sky (zoom in pic, i think a solid craft with the light can be seen)."
2017,4,16,20,0,Bolingbrook,Formation,Was driving northbound interstate 355 when i noticed a large bright formation to the southwest of where we were and they were all at di
2017,4,16,10,22,Arundel,Flash,Low flying aircraft with flashing lights in oval shape with very little sound.
2017,4,16,7,15,Linden,Other,the object was large and trident shaped.
2017,4,16,0,38,Honolulu,Circle,Saw a bright red light that looked like a helicopter at first but as it got closer it was flying too low.  ((anonymous report))
2017,4,15,22,30,Dickinson (headed toward Galveston),Light,Was around 10:30pm I looked up to see a red glowing orb about the size of an airplane. There was a green blinking light that looked to
2017,4,15,22,10,Eastaboga,Light,Three lights equal distance apart and level were flying west. Within 10 minutes no fewer than four jets with lights flashing rapidly ap
2017,4,15,21,30,Boise,Triangle,Two multicolored illuminated objects hovered above Boise and ascended vertically and vanishished out of site.  ((anonymous report))
2017,4,15,21,30,Norman,Light,Two or three dozen white lights traveling north
2017,4,15,20,30,Willowdale,Sphere,"Orange glowing orb, pulsing, silent, slow moving, slightly redder in center at height of pulsation"
2017,4,15,20,30,Newport News,Fireball,Multiple ballistic-like fireballs/rockets?
2017,4,15,20,0,Dothan,Light,"Bright light near Dothan, Alabama sighted moving southward at extreme speed."
2017,4,15,18,9,Elk Grove,Circle,Very fast jet.
2017,4,15,10,15,North Myrtle Beach,Triangle,Seen the one Arizona seen years ago.
2017,4,14,23,0,Gordon,Circle,Went to let the dogs out before bed..notice a star moving slowly  from northeast to southwest. White like the stars…then it moved faste
2017,4,14,23,0,Phoenix,Diamond,Diamond shaped crafts test my perception and direction following abilities.
2017,4,14,22,50,Vancouver,Circle,"Very bright orange/red circle in sky, traveling to N/NW.  Made an arc.  Disappeared in sky.  Seemed to be pulsating and lasted for 2.5"
2017,4,14,22,30,Monticello,Light,"Walking home from seeing a movie, I noticed an object moving around in the sky.  ((NUFORC Note:  Possibly Jupiter??  PD))"
2017,4,14,22,20,Santa Maria,Triangle,Silent black triangle with landing gear no lights
2017,4,14,22,5,Woodsville,Teardrop,Green and orange teardrop shaped light traveling in a straight line over Rt. 10 in Haverhill NH.
2017,4,14,22,0,Grant,Light,Solid pair of lights moving very fast with up and down motion across the night sky.  ((anonymous report))
2017,4,14,22,0,Saint James,Egg,Bright orange egg shaped lights shining in my windows.
2017,4,14,21,50,Malibu,Changing,Dull object changing shape and flashing while moving in and out of vision
2017,4,14,21,0,Woodbury,Diamond,"Blue lights descending for about 2 seconds in Woodbury, New York."
2017,4,14,20,41,Poland,Unknown,"Formation of lights unable to identify along with not knowing were the loud explosion sound came from, which startled my dogs."
2017,4,14,20,28,Albuquerque,Light,"Unbelievably fast object east of Albuquerque,NM"
2017,4,14,19,45,Clearwater,Unknown,Noticed 3 round perfect bright LED colored bright lights that were shaped semi pyramid formation.  ((anonymous report))
2017,4,14,2,10,Irvine/Costa Mesa (between),Circle,I was driving on 405 freeway going north.  I noticed red flashing orbs side by side.
2017,4,14,0,45,Jackson,Circle,"It was a round sphere w/ a ring around it the back side of the ring looked shadowed,  ((anonymous report))"
2017,4,13,23,28,Sawgrass area,Circle,Sawgrass area round orange bright.
2017,4,13,23,23,Wichita,Flash,There was a flashing light that was to fast and bright to be a star and it was moving around at different speeds.
2017,4,13,22,30,Clermont,Sphere,Bright orange/red glowing object that moved from the E to the W across the clear night sky.
2017,4,13,22,0,Great Barrington,Light,"I was walking back from volleyball practice on my campus, the patch of trees in between a river and my campus faculty building suddenly"
2017,4,13,21,30,Sister Bay,Light,"2 Light UFOs in Door County, Wisconsin."
2017,4,13,20,30,Plymouth,Fireball,Pulsating/flickering fire ball orbs
2017,4,13,20,30,Monona,Disk,I looked up and saw a saucer like object in the sky. It was like that one amusement ride the gravatron. Atleast the shape. It was going
2017,4,13,18,20,Ronkonkoma,Other,Hovering black object seen in Ronkonkoma NY going eastbound on the Long Island Expressway
2017,4,13,17,0,Sammamish,Light,Two bright objects.
2017,4,13,16,30,Mckee,Light,Object seen twice moving low in Jackson County.  Red lights on front.  ((anonymous report))
2017,4,13,15,15,Marysville,Fireball,"I saw a multicolored FLAT CIRCLE in the sky, which was CLEARLY TOO CLOSE to be the SUN."
2017,4,13,8,30,Des Moines,Circle,Bright red object spotted above north side of Des Moines
2017,4,13,6,45,Franklin,Light,"My son and I were at the end of my driveway, watching the sw sky because we thought we had seen a fireball on the 11th and he says ther"
2017,4,13,0,0,Phoenix,Cigar,"Red and yellow, stayed there for 1 whole hour."
